"filename", "language", "HTML", "TypeScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\order-completed\order-completed.component.ts", "TypeScript", 0, 23, 0, 0, 0, 9, 32
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\page-not-found\page-not-found.component.css", "CSS", 0, 0, 24, 0, 0, 4, 28
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\page-not-found\page-not-found.component.html", "HTML", 16, 0, 0, 0, 0, 2, 18
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\page-not-found\page-not-found.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\page-not-found\page-not-found.component.ts", "TypeScript", 0, 19, 0, 0, 0, 9, 28
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\categories.model.ts", "TypeScript", 0, 3, 0, 0, 0, 1, 4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\mosqui-wizzard\mosqui-wizzard.component.css", "CSS", 0, 0, 189, 0, 1, 30, 220
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\mosqui-wizzard\mosqui-wizzard.component.html", "HTML", 96, 0, 0, 0, 135, 21, 252
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\mosqui-wizzard\mosqui-wizzard.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\mosqui-wizzard\mosqui-wizzard.component.ts", "TypeScript", 0, 132, 0, 0, 2, 26, 160
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\porducts.component.css", "CSS", 0, 0, 13, 0, 0, 7, 20
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\porducts.component.html", "HTML", 5, 0, 0, 0, 0, 10, 15
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\porducts.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\porducts.component.ts", "TypeScript", 0, 50, 0, 0, 0, 15, 65
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-list\PerlaProfilLogo-dark 1.svg", "XML", 0, 0, 0, 8, 0, 1, 9
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-list\product-list.component.css", "CSS", 0, 0, 1079, 0, 84, 256, 1419
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-list\product-list.component.html", "HTML", 345, 0, 0, 0, 69, 42, 456
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-list\product-list.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-list\product-list.component.ts", "TypeScript", 0, 849, 0, 0, 64, 185, 1098
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-page\product-page.component.css", "CSS", 0, 0, 530, 0, 18, 71, 619
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-page\product-page.component.html", "HTML", 307, 0, 0, 0, 4, 43, 354
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-page\product-page.component.ts", "TypeScript", 0, 537, 0, 0, 5, 73, 615
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-page\safe-pipe.pipe.spec.ts", "TypeScript", 0, 7, 0, 0, 0, 2, 9
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-page\safe-pipe.pipe.ts", "TypeScript", 0, 11, 0, 0, 0, 2, 13
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\products-carousel\products-carousel.component.css", "CSS", 0, 0, 11, 0, 0, 1, 12
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\products-carousel\products-carousel.component.html", "HTML", 32, 0, 0, 0, 126, 4, 162
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\products-carousel\products-carousel.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\products-carousel\products-carousel.component.ts", "TypeScript", 0, 90, 0, 0, 8, 19, 117
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\products.service.ts", "TypeScript", 0, 90, 0, 0, 2, 35, 127
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\single-product\single-product.component.css", "CSS", 0, 0, 627, 0, 6, 113, 746
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\single-product\single-product.component.html", "HTML", 30, 0, 0, 0, 120, 19, 169
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\single-product\single-product.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\single-product\single-product.component.ts", "TypeScript", 0, 191, 0, 0, 1, 65, 257
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\prev.directive.spec.ts", "TypeScript", 0, 7, 0, 0, 0, 2, 9
