"filename", "language", "TypeScript", "HTML", "CSS", "JSON", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\app.component.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 8, 18, 75
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\app.module.ts", "TypeScript", -7, 0, 0, 0, 0, 0, 2, 11, 6
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\cart-service.service.ts", "TypeScript", 78, 0, 0, 0, 0, 0, -22, 1, 57
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\cart.component.css", "CSS", 0, 0, 175, 0, 0, 0, 2, 36, 213
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\cart.component.html", "HTML", 0, 93, 0, 0, 0, 0, 74, 9, 176
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\cart.component.ts", "TypeScript", 68, 0, 0, 0, 0, 0, 2, 26, 96
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\favorite\favorite.component.css", "CSS", 0, 0, 81, 0, 0, 0, 0, 15, 96
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\favorite\favorite.component.html", "HTML", 0, 37, 0, 0, 0, 0, 48, 3, 88
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\favorite\favorite.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\favorite\favorite.component.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 0, 13, 80
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\checkout-nav\checkout-nav.component.css", "CSS", 0, 0, 42, 0, 0, 0, 0, 9, 51
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\checkout-nav\checkout-nav.component.html", "HTML", 0, 36, 0, 0, 0, 0, 0, 4, 40
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\checkout-nav\checkout-nav.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\checkout-nav\checkout-nav.component.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\checkout-page\checkout-page.component.css", "CSS", 0, 0, 74, 0, 0, 0, 0, 26, 100
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\checkout-page\checkout-page.component.html", "HTML", 0, 42, 0, 0, 0, 0, 112, 3, 157
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\checkout-page\checkout-page.component.ts", "TypeScript", 147, 0, 0, 0, 0, 0, 7, 22, 176
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\footer\footer.component.css", "CSS", 0, 0, 24, 0, 0, 0, 0, 12, 36
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\footer\footer.component.html", "HTML", 0, 542, 0, 0, 0, 0, 0, 2, 544
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\footer\footer.component.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\homepage\homepage.component.css", "CSS", 0, 0, -1797, 0, 0, 0, -33, -293, -2123
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\homepage\homepage.component.html", "HTML", 0, 81, 0, 0, 0, 0, 60, 47, 188
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\homepage\homepage.component.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 14, 30
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\log-in\log-in.component.css", "CSS", 0, 0, 60, 0, 0, 0, 0, 15, 75
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\log-in\log-in.component.html", "HTML", 0, 10, 0, 0, 0, 0, 47, 0, 57
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\log-in\log-in.component.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\my-orders\my-orders.component.css", "CSS", 0, 0, 111, 0, 0, 0, 6, 26, 143
