"filename", "language", "TypeScript", "JSON", "HTML", "CSS", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\single-product\single-product.component.css", "CSS", 0, 0, 0, 85, 0, 0, 2, 23, 110
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\single-product\single-product.component.html", "HTML", 0, 0, 19, 0, 0, 0, 5, 8, 32
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\single-product\single-product.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\single-product\single-product.component.ts", "TypeScript", 79, 0, 0, 0, 0, 0, 1, 31, 111
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\profile\profile.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\profile\profile.component.html", "HTML", 0, 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\profile\profile.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\profile\profile.component.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\services\admin.guard.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\services\admin.guard.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 5, 6, 38
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\services\auth-interceptor.service.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\services\auth.guard.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 5, 5, 37
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\services\auth.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\services\auth.service.ts", "TypeScript", 161, 0, 0, 0, 0, 0, 3, 48, 212
